Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap/MountainViews,Google Maps,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,Ca,Bin,O,Un,summit_ready_canonical_id,country_normalized,latitude_normalized,longitude_normalized,elevation_m_normalized,prominence_m_normalized,col_height_m_normalized,source_dataset,source_version,source_release_date,source_file_sha256,source_license,source_attribution,source_trust,final_verification_status,needs_review_reason,qa_status,qa_flags,data_priority,ai_fallback_allowed
2302,The Cheviot,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,Northumberland,"Ma,Sim,Hew,N,CoH,CoA,CoU",74 75,016E,816,2677,NT907205,NT 90782 20526,557.5,NT 4041 0064,258.5,no feature: heather,ground 10m SE at NT 90786 20518 is of similar height; ground by trig point at NT 90781 20526 is 0.7m lower,,,E,"Northumberland, Northumberland, Northumberland (1974-1996), Northumberland (1889-1974)",03-Jun-24,,"https://www.streetmap.co.uk/map?X=390783&Y=620530&SV=390783,620530&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.478496,-2.147389",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2302,390783,620530,55.478496,-2.147389,NT9078320530,33,2302,,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2302,England,55.47849600,-2.14738900,816,557.5,258.5,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2303,Cairn Hill,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,Northumberland,xN,80,016E,777,2549,NT903195,NT 90370 19519,10,NT905197,767,small cairn,about 20cm higher than ancient cairn,Abney level,,E,,27-Nov-11,,"https://www.streetmap.co.uk/map?X=390371&Y=619523&SV=390371,619523&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.469439,-2.153872",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2303,390371,619523,55.469439,-2.153872,NT9037119523,33,2302,The Cheviot,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,dobih:2303,England,55.46943900,-2.15387200,777,10,767,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2306,Hedgehope Hill,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,Northumberland,"Hu,Sim,Hew,N,sMa",80,016E,714.4,2344,NT943197,NT 94386 19787,147.3,NT 9320 1931,567.1,trig point on ancient cairn,height value refers to edge of ancient cairn (NT 94381 19798) which is highest visible natural ground,Abney level/Leica Disto D510/Leica RX1250,,E,,11-Dec-22,,"https://www.streetmap.co.uk/map?X=394387&Y=619791&SV=394387,619791&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.471911,-2.090354",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2306,394387,619791,55.471911,-2.090354,NT9438719791,33,2302,The Cheviot,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2306,England,55.47191100,-2.09035400,714.4,147.3,567.1,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2307,Comb Fell,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,Northumberland,"Sim,Hew,N",80,016E,652.8,2142,NT924187,NT 92414 18732,70,NT909187,583,thick fence post at bend in fence,ground to 35m W at NT 92378 18735 is as high,Abney level/Leica Disto D510/Leica RX1250,,E,,08-Dec-14,Bridge summit 470m W at NT 91885 18752,"https://www.streetmap.co.uk/map?X=392415&Y=618736&SV=392415,618736&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.462404,-2.121519",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2307,392415,618736,55.462404,-2.121519,NT9241518736,33,2302,The Cheviot,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2307,England,55.46240400,-2.12151900,652.8,70,583,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2309,Cushat Law,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,Northumberland,"Hu,Sim,Hew,N,sMa",80,016E,616.2,2022,NT928137,NT 92812 13746,148.7,NT 9002 1705,467.5,no feature: ground midway between fence and windshelter,wind shelter on lower ground although top stones higher than cairn,Abney level/Leica Disto D510/Leica RX1250,,E,,09-Jul-22,,"https://www.streetmap.co.uk/map?X=392813&Y=613749&SV=392813,613749&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.417608,-2.115094",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2309,392813,613749,55.417608,-2.115094,NT9281313749,33,2302,The Cheviot,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2309,England,55.41760800,-2.11509400,616.2,148.7,467.5,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2310,Bloodybush Edge,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,Northumberland,"Hu,Sim,Hew,N",80,016E,609.8,2001,NT902143,NT 90223 14341,113.8,NT 9138 1434,496,trig point,ground 10m N just over fence at NT 90226 14347 and ground 15m SE of trig point at NT 90232 14326 is as high,Abney level/Leica Disto D510/Leica RX1250,,E,,08-Dec-14,col height measured to be 496.0m,"https://www.streetmap.co.uk/map?X=390224&Y=614344&SV=390224,614344&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.422909,-2.156014",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2310,390224,614344,55.422909,-2.156014,NT9022414344,33,2302,The Cheviot,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2310,England,55.42290900,-2.15601400,609.8,113.8,496,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2311,Peel Fell,,,33,33: Northumberland,The Cheviots,,SE02 Peel-rubers,Northumberland,"Ma,Sim,Dew",80,042W,602.7,1977,NY625997,NY 62591 99720,194.9,NT 7223 0735,407.8,cairn on mound,highest visible natural feature is flat boulder 7m SE of cairn and this is 0.6m lower than cairn base; ground 210m WNW at NY 62381 99766 is 1.2m lower,Leica NA730/Leica RX1250,,E,,10-Apr-21,,"https://www.streetmap.co.uk/map?X=362591&Y=599723&SV=362591,599723&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.290199,-2.590601",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2311,362591,599723,55.290199,-2.590601,NY6259199723,33,2311,,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2311,England,55.29019900,-2.59060100,602.7,194.9,407.8,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2313,Sighty Crag,,,33,33: Northumberland,,,SE02 Peel-rubers,Cumberland,"Ma,5,Dew",80,042W,520,1706,NY601809,NY 60134 80920,297,NY 6016 9727,222.5,outcrop,outcrop is 5m WSW of trig point and 0.9m above FB,Abney level,,E,,06-Apr-22,,"https://www.streetmap.co.uk/map?X=360134&Y=580923&SV=360134,580923&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.121078,-2.626629",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2313,360134,580923,55.121078,-2.626629,NY6013480923,33,2313,,,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2313,England,55.12107800,-2.62662900,520,297,222.5,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2314,Shillhope Law,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,Northumberland,"Ma,5,Dew",80,016E,501,1644,NT873096,NT 87310 09676,159.3,NT 8741 1289,341.7,trig pillar in shelter above ancient cairn,natural summit might be 15m SW at NT 87302 09660 or 10m S at NT 87311 09660,Abney level,,E,,03-Jun-24,,"https://www.streetmap.co.uk/map?X=387311&Y=609679&SV=387311,609679&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.380923,-2.201823",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2314,387311,609679,55.380923,-2.201823,NT8731109679,33,2314,,,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2314,England,55.38092300,-2.20182300,501,159.3,341.7,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2315,Tosson Hill,,,33,33: Northumberland,The Cheviots,,SE01 Cheviot-hownam,Northumberland,"Ma,4",81,042E,441.7,1449,NZ004982,NZ 00482 98244,249.1,NY 9480 9420,192.6,trig point,,Abney level,,E,,06-Apr-22,,"https://www.streetmap.co.uk/map?X=400483&Y=598247&SV=400483,598247&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.278363,-1.993952",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2315,400483,598247,55.278363,-1.993952,NZ0048398247,33,2315,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2315,England,55.27836300,-1.99395200,441.7,249.1,192.6,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2316,Long Crag,,,33,33: Northumberland,,,SE01 Cheviot-hownam,Northumberland,"Ma,3",81,332,319.3,1048,NU062069,NU 06204 06959,170.4,NU 0342 0768,148.8,not recorded,ground by trig point 30m SE at NU 06222 06934 and ground 70m ESE at NU 06268 06938 are of similar height; ground 240m E at NU 06442 06924 is 1.3m lower; cairn 150m SW is c 2m lower,Abney level,,E,,06-Apr-22,,"https://www.streetmap.co.uk/map?X=406205&Y=606962&SV=406205,606962&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.356637,-1.903688",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2316,406205,606962,55.356637,-1.903688,NU0620506962,33,2316,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2316,England,55.35663700,-1.90368800,319.3,170.4,148.8,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,info,duplicate_name_in_country_info,1,true
2317,Ros Castle [Ros Hill],,,33,33: Northumberland,,,SE01 Cheviot-hownam,Northumberland,"Ma,3",75,340,316,1037,NU081253,NU 08103 25318,221.5,NU 0701 1606,94.5,no feature: heather,ground is 10m from trig point on far (west) side of wall,Abney level,,E,,06-Apr-22,,"https://www.streetmap.co.uk/map?X=408104&Y=625322&SV=408104,625322&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.521578,-1.873208",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2317,408104,625322,55.521578,-1.873208,NU0810425322,33,2317,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2317,England,55.52157800,-1.87320800,316,221.5,94.5,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2318,Housedon Hill,,,33,33: Northumberland,,,SE01 Cheviot-hownam,Northumberland,"Ma,2",74 75,339E,268.3,880,NT902327,NT 90218 32708,183.4,NT 8547 3448,84.9,small cairn,ground 200m N by fence line at NT 90215 32912 is 0.8m lower,Abney level,,E,,03-Jun-24,See Database Notes.,"https://www.streetmap.co.uk/map?X=390219&Y=632712&SV=390219,632712&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=55.587946,-2.156747",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2318,390219,632712,55.587946,-2.156747,NT9021932712,33,2318,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2318,England,55.58794600,-2.15674700,268.3,183.4,84.9,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2319,Skiddaw,,,34A,34A: Lake District N,Lake District - Northern Fells,,EL01 Skiddaw-knott,Cumberland,"Ma,F,Sim,Hew,N,HHB,W,B,Sy,Fel",89 90,004S,930.4,3052,NY260290,NY 26043 29080,705.7,NY 3713 3065,224.7,rock 5m S of trig point between trig point and shelter,note Wainwright and Birkett describe trig point as summit,obvious summit,,E,,06-Feb-21,,"https://www.streetmap.co.uk/map?X=326042&Y=529081&SV=326042,529081&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.651391,-3.147761",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2319,326042,529081,54.651391,-3.147761,NY2604229081,34.1,2319,,,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2319,England,54.65139100,-3.14776100,930.4,705.7,224.7,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2320,Blencathra - Hallsfell Top,,,34A,34A: Lake District N,Lake District - Northern Fells,,EL01 Skiddaw-knott,Westmorland and Furness,"Ma,Sim,Hew,N,HHB,W,B,Sy,Fel",90,005S,867.8,2847,NY323277,NY 32345 27708,461,NY296287,407,rock 1m N of trig point,ground 2m N of trig point about as high,Abney level/Leica RX1250,,E,,19-May-19,,"https://www.streetmap.co.uk/map?X=332344&Y=527709&SV=332344,527709&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.639949,-3.049789",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2320,332344,527709,54.639949,-3.049789,NY3234427709,34.1,2320,,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2320,England,54.63994900,-3.04978900,867.8,461,407,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2321,Skiddaw Little Man,,,34A,34A: Lake District N,Lake District - Northern Fells,,EL01 Skiddaw-knott,Cumberland,"Sim,Hew,N,W,B,HHB,Sy,Fel",89 90,004S,865,2838,NY266277,NY 26676 27792,60.6,NY 2650 2808,804.4,rock 5m N of cairn,old Wainwright cairn probably stood at NY 26680 27785. Modern cairn rebuilt at NY 26676 27787,Abney level,,E,,27-Jan-24,,"https://www.streetmap.co.uk/map?X=326675&Y=527793&SV=326675,527793&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.639911,-3.137629",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2321,326675,527793,54.639911,-3.137629,NY2667527793,34.1,2319,Skiddaw,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2321,England,54.63991100,-3.13762900,865,60.6,804.4,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2322,Gategill Fell Top,,,34A,34A: Lake District N,Lake District - Northern Fells,,EL01 Skiddaw-knott,Westmorland and Furness,"N,B,Sy",90,005S,852.2,2796,NY317273,NY 31782 27354,18.1,NY 3196 2751,834.1,overhanging rock 5m E of cairn,,Abney level/Leica RX1250,,E,,19-May-19,,"https://www.streetmap.co.uk/map?X=331781&Y=527355&SV=331781,527355&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.636693,-3.058428",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2322,331781,527355,54.636693,-3.058428,NY3178127355,34.1,2320,Blencathra - Hallsfell Top,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2322,England,54.63669300,-3.05842800,852.2,18.1,834.1,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2323,Atkinson Pike [Foule Crag],,,34A,34A: Lake District N,Lake District - Northern Fells,,EL01 Skiddaw-knott,Westmorland and Furness,"N,B,Sy",90,005S,845.3,2773,NY324282,NY 32435 28299,14.5,NY 3238 2796,830.8,rock 3m W of cairn,rock is about 50cm higher than cairn base,Abney level,,E,,10-Dec-25,Requires a survey to clarify Nuttall status,"https://www.streetmap.co.uk/map?X=332434&Y=528300&SV=332434,528300&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.645272,-3.048531",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2323,332434,528300,54.645272,-3.048531,NY3243428300,34.1,2320,Blencathra - Hallsfell Top,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2323,England,54.64527200,-3.04853100,845.3,14.5,830.8,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2324,Knowe Crags [Blease Fell],,,34A,34A: Lake District N,Lake District - Northern Fells,,EL01 Skiddaw-knott,Westmorland and Furness,"B,Sy,xN",90,005S,804.5,2639,NY311270,NY 31197 27027,14.7,NY 3128 2716,789.8,rock 2m SE of cairn,,Abney level/Leica RX1250,,E,,19-May-19,,"https://www.streetmap.co.uk/map?X=331196&Y=527028&SV=331196,527028&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.633675,-3.067413",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2324,331196,527028,54.633675,-3.067413,NY3119627028,34.1,2320,Blencathra - Hallsfell Top,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,dobih:2324,England,54.63367500,-3.06741300,804.5,14.7,789.8,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2325,Carl Side,,,34A,34A: Lake District N,Lake District - Northern Fells,,EL01 Skiddaw-knott,Cumberland,"N,W,B,Sy,Fel,sSim",89 90,004S,746.8,2450,NY254280,NY 25496 28088,28.3,NY 2558 2826,718.6,loose pile of rocks,,Abney level,,E,,16-Jan-21,,"https://www.streetmap.co.uk/map?X=325495&Y=528089&SV=325495,528089&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.642398,-3.155984",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2325,325495,528089,54.642398,-3.155984,NY2549528089,34.1,2319,Skiddaw,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2325,England,54.64239800,-3.15598400,746.8,28.3,718.6,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
2326,Long Side,,,34A,34A: Lake District N,Lake District - Northern Fells,,EL01 Skiddaw-knott,Cumberland,"Sim,Hew,N,W,B,Sy,Fel",89 90,004S,734,2408,NY248284,NY 24880 28444,39,NY251283,695,cairn,ground 35m W at NY 24844 28447 is 1.5m lower,Abney level,,E,,23-Oct-23,,"https://www.streetmap.co.uk/map?X=324879&Y=528445&SV=324879,528445&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=54.645505,-3.165618",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=2326,324879,528445,54.645505,-3.165618,NY2487928445,34.1,2319,Skiddaw,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:2326,England,54.64550500,-3.16561800,734,39,695,Database of British and Irish Hills (DoBIH),v18.5,2026-07-26,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,CC BY 4.0,The Database of British and Irish Hills v18.5 — https://www.hill-bagging.co.uk/dobih,trusted_source,trusted_source,,pass,,1,true
